Фото;Товар;Артикул;Производитель;Номер производителя;Раздел;Цена;Валюта;Источник цены;Дата парсинга;URL
https://www.leroymerlin.es/cdp-site/6.66.0/static/images/common/loader-v2.svg;Batería solar LFP UPOWER 300Ah 12.8V;89876594;;;Equipamiento de emergencia para el hogar;642.85;EUR;extension-list;06.09.2026, 18:17:29;https://www.leroymerlin.es/productos/bateria-solar-lfp-upower-300ah-12-8v-89876594.html
https://media.adeo.com/mkp/f2511e6def6cd586789a2a91eec171f8/media.jpg?width=100;Luces solares impermeables para exteriores, juego de 2 luces solares para cerca, blanco cálido, decoración de patio;92301992;Luces;;Equipamiento de emergencia para el hogar;18.63;EUR;extension-list;06.09.2026, 18:17:29;https://www.leroymerlin.es/productos/luces-solares-impermeables-para-exteriores-juego-de-2-luces-solares-para-cerca-blanco-calido-decoracion-de-patio-92301992.html
https://media.adeo.com/media/1864120/media.jpg?width=300;Batería solar AGM U-POWER 12V 35Ah;82461746;UPOWER;;Equipamiento de emergencia para el hogar;67.84;EUR;extension-list;06.09.2026, 18:17:29;https://www.leroymerlin.es/productos/bateria-solar-agm-u-power-12v-35ah-82461746.html
https://media.adeo.com/media/1864390/media.jpg?width=300;Módulo wi-fi inversor omega MF off-grid;83166020;Modulo;;Equipamiento de emergencia para el hogar;98.99;EUR;extension-list;06.09.2026, 18:17:29;https://www.leroymerlin.es/productos/modulo-wi-fi-inversor-omega-mf-off-grid-83166020.html
https://media.adeo.com/media/4591471/media.png?width=100;Batería solar de gel 6GFM180G 12V 180Ah;94379237;Batería;6GFM180G;Equipamiento de emergencia para el hogar;;;;06.09.2026, 18:17:29;https://www.leroymerlin.es/productos/bateria-solar-de-gel-6gfm180g-12v-180ah-94379237.html
https://media.adeo.com/mkp/ea9ef4a3cba0bc1422f4ad1b40759261/media.jpg?width=100;Barbacoa Plegable Portátil para Carbón BearBQ InnovaGoods;85375167;;;Equipamiento de emergencia para el hogar;22.9;EUR;extension-list;06.09.2026, 18:17:29;https://www.leroymerlin.es/productos/barbacoa-plegable-portatil-para-carbon-bearbq-innovagoods-85375167.html
https://media.adeo.com/mkp/bbc3aa67cd0051945e6bd47405061b4f/media.jpg?width=300;Hidronivel Pozo/Depósito TH1-230/400 - TOSCANO;86290459;Toscano;;Equipamiento de emergencia para el hogar;55.49;EUR;extension-list;06.09.2026, 18:17:29;https://www.leroymerlin.es/productos/hidronivel-pozo-deposito-th1-230-400-toscano-86290459.html
https://media.adeo.com/media/1864416/media.jpg?width=300;Batería solar AGM U-POWER 12V 26Ah;82461745;U-Power;;Equipamiento de emergencia para el hogar;45.99;EUR;extension-list;06.09.2026, 18:17:29;https://www.leroymerlin.es/productos/bateria-solar-agm-u-power-12v-26ah-82461745.html
https://www.leroymerlin.es/cdp-site/6.66.0/static/images/common/loader-v2.svg;Batería solar de gel U-POWER 6V 600Ah 3.6 kW;83166016;U-Power;;Equipamiento de emergencia para el hogar;;;;06.09.2026, 18:17:29;https://www.leroymerlin.es/productos/bateria-solar-de-gel-u-power-6v-600ah-3-6-kw-83166016.html
https://www.leroymerlin.es/cdp-site/6.66.0/static/images/common/loader-v2.svg;Controlador de Carga/Descarga Solar Compacto iSCC-AU-XUNZEL-10A-12V USB;82170481;Controlador;Compacto iSCC-AU-XUNZEL-10A-12V;Equipamiento de emergencia para el hogar;25.95;EUR;extension-list;06.09.2026, 18:17:07;https://www.leroymerlin.es/productos/controlador-de-carga-descarga-solar-compacto-iscc-au-xunzel-10a-12v-usb-82170481.html
